id;nombre;apellidos;email;acciones;bonos
1;Awesome Frozen Computer Grocery;transparent;Oma_Zulauf@yahoo.com;true;true
2;Soft;needs-based calculate Accountability;Sydnee36@gmail.com;false;true
3;invoice sensor wireless;Gorgeous Cotton Mouse Global Centralized;Ben43@hotmail.com;false;true
4;Table;Chicken Home Loan Account communities;Keara93@yahoo.com;false;false
5;Lead;dot-com Licensed;Blanca96@yahoo.com;true;true
6;e-tailers Fish Shirt;enable synthesizing;Alec55@gmail.com;true;true
7;proactive;digital Incredible Fresh Towels digital;Luella33@yahoo.com;true;true
8;action-items;Frozen circuit;Marietta_Gusikowski@yahoo.com;false;false
9;Streets Bike online;primary neural-net Consultant;Isai_Streich@hotmail.com;false;false
10;networks;local area network success magenta;Meagan.Rau55@hotmail.com;false;false
